Id,Creation Time,T5_query_rewriter,data_usage_type,run_type,Sum of BLEU,Sum of ROGUE,ndcg3_score,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,b_s_2,b_s_3,b_s_4,b_s_5,b_s_6,b_s_7,b_s_8,b_s_9,b_s_10,r_s_2 f_measure,r_s_3 f_measure,r_s_4 f_measure,r_s_5 f_measure,r_s_6 f_measure,r_s_7 f_measure,r_s_8 f_measure,r_s_9 f_measure,r_s_10 f_measure
QUER-704,2022-10-05 22:40:15,base,one_mid_summarized_paragraph,testing_query_rewriting,56.47,83.33,,,,,,,,,,,57.59,54.97,60.72,65.08,53.61,63.69,45.11,37.70,66.79,85.43,84.66,85.90,84.48,81.65,86.80,79.10,73.89,88.07
QUER-703,2022-10-05 22:31:28,base,one_mid_summarized_paragraph,testing_everything,55.75,82.49,0.27246482407707096,0.34654178781472467,0.4077040391024313,0.2557259627012974,0.2010165786202343,0.2937173025192568,0.23160804584101488,0.18890194761239715,0.08318034501523304,0.3412188391207717,53.73,61.14,58.04,60.62,58.05,53.74,49.64,34.62,66.04,82.80,86.75,85.43,82.54,82.52,83.43,82.88,71.60,84.46
QUER-702,2022-10-05 20:51:43,personal,one_mid_summarized_paragraph,testing_query_rewriting,60.75,85.17,,,,,,,,,,,48.47,63.78,59.86,72.38,63.11,63.05,61.26,42.83,70.54,75.63,89.44,84.29,89.38,85.02,85.18,86.46,80.52,90.63
QUER-701,2022-10-05 20:42:55,personal,one_mid_summarized_paragraph,testing_everything,56.26,81.01,0.21544927231065095,0.19490006643892982,0.3113983941575609,0.23478586109370034,0.14866764865414997,0.1625649125107911,0.22405460953801384,0.20198302351999625,0.05400942912224869,0.23844609301223216,45.93,60.48,61.00,58.29,59.24,64.01,51.87,40.54,54.32,74.70,85.54,88.88,84.90,86.35,84.72,81.27,62.71,80.03
QUER-700,2022-10-05 18:37:03,base,one_short_summarized_paragraph,testing_query_rewriting,55.96,82.99,,,,,,,,,,,57.42,55.59,60.64,62.88,55.10,60.07,44.26,40.16,63.24,86.34,84.15,85.71,84.13,83.37,84.29,78.26,77.65,82.98
QUER-699,2022-10-05 18:31:37,base,one_short_summarized_paragraph,testing_everything,55.76,83.41,0.26994682772176676,0.37580285439094996,0.3877687236533439,0.27881496067197536,0.14768228873429237,0.2825631577455703,0.3047637950623947,0.14944093921530688,0.12021625798747833,0.17455217245410504,53.53,60.21,56.91,60.97,56.13,62.25,45.37,34.78,66.09,82.51,86.64,86.34,82.69,84.85,88.81,79.56,73.70,85.56
QUER-698,2022-10-05 16:37:08,personal,one_short_summarized_paragraph,testing_query_rewriting,58.94,84.69,,,,,,,,,,,54.71,59.59,56.84,71.84,59.98,61.89,54.48,43.98,60.02,79.49,85.77,84.73,89.16,84.72,84.67,85.13,79.91,88.64
QUER-697,2022-10-05 16:31:48,personal,one_short_summarized_paragraph,testing_everything,59.00,84.73,0.233615215665962,0.22183809422915451,0.3146102909562752,0.2554821796816052,0.17442718340526342,0.22966590607537746,0.25266210672625716,0.19190038329193138,0.027894294565112963,0.2597067555963239,49.56,63.05,58.74,67.50,65.12,64.57,51.06,42.97,58.89,78.09,88.28,83.77,88.73,88.15,85.45,81.56,82.10,86.39
QUER-696,2022-10-05 14:56:30,base,one_full_paragraph,testing_query_rewriting,56.17,82.65,,,,,,,,,,,57.51,53.69,61.14,65.40,53.11,63.17,44.64,36.28,65.85,85.78,84.20,86.16,84.79,81.70,86.97,78.43,70.84,84.97
QUER-695,2022-10-05 14:55:39,base,one_full_paragraph,testing_everything,52.76,81.29,0.24515482772659777,0.2938946403662805,0.35354414468843065,0.22332380766795054,0.21923308813933892,0.2550096331767618,0.21197241838069558,0.17708426923374462,0.11037078297469165,0.13399956531265275,51.42,56.78,53.83,53.37,54.69,54.41,49.76,36.89,58.79,82.02,83.04,82.33,79.24,82.15,78.78,80.25,77.67,86.16
QUER-694,2022-10-05 13:08:15,personal,one_full_paragraph,testing_query_rewriting,58.97,82.67,,,,,,,,,,,46.40,61.45,60.05,74.38,58.48,57.90,59.15,41.63,70.54,76.57,86.41,83.61,89.94,82.95,80.65,83.64,69.63,90.63
QUER-693,2022-10-05 13:07:31,personal,one_full_paragraph,testing_everything,49.11,76.02,0.19695104061406202,0.2502405583646245,0.27392733798882196,0.19628366599916375,0.1681044735916423,0.1160862192935238,0.15857412820103425,0.09501443150112693,0.08590970116292232,0.37212700968999995,47.31,48.99,54.54,53.22,44.77,50.73,43.98,31.56,74.27,75.90,77.17,83.67,79.24,71.70,75.98,72.28,55.72,92.49
QUER-692,2022-10-05 11:04:15,base,all_similar_sentences,testing_query_rewriting,58.96,84.98,,,,,,,,,,,58.79,58.61,67.94,58.01,60.59,67.01,50.98,37.80,67.44,87.80,86.43,88.49,83.74,86.06,88.46,82.94,70.66,90.21
QUER-691,2022-10-05 11:03:23,base,all_similar_sentences,testing_everything,55.82,83.08,0.27530817344794173,0.395324503980997,0.3314663064816563,0.29038095980580836,0.2500905780900596,0.2729794077398527,0.26636906883070205,0.10095306877468038,0.1571214217925784,0.37045238969805466,57.53,58.29,59.03,61.53,57.77,61.24,43.28,37.74,53.76,87.15,86.74,84.78,85.08,83.09,84.91,77.19,76.96,81.86
QUER-690,2022-10-05 08:31:15,personal,all_similar_sentences,testing_query_rewriting,61.00,81.96,,,,,,,,,,,53.60,63.32,60.90,71.22,63.66,63.87,57.19,49.35,55.96,77.41,86.46,82.84,88.33,86.24,81.98,82.76,66.11,85.45
