Id,Creation Time,T5_query_rewriter,data_usage_type,ndcg3_sum,bleu_sum,rouge_sum,run_type,bleu_2,bleu_3,bleu_4,bleu_5,bleu_6,bleu_7,bleu_8,bleu_9,bleu_10,rouge_2,rouge_3,rouge_4,rouge_5,rouge_6,rouge_7,rouge_8,rouge_9,rouge_10,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10
QUER1-22,2022-12-13 18:27:03,base,BM25,0.16744734800865954,51.67,78.77,automatic,49.74,41.57,44.94,48.14,54.34,45.52,46.81,42.21,41.19,80.14,75.05,77.75,77.58,77.48,73.51,75.70,68.09,80.14,0.2352163836511395,0.1945532564059882,0.21333366693000902,0.11735640259737884,0.16795938667738755,0.21257817142362825,0.150982963675696,0.09540965345715352,0.11947400338699694,0.12105865659802095
QUER1-21,2022-12-13 10:26:38,base,BM25+MonoBERT,0.25070223237568207,51.67,78.77,automatic,49.74,41.57,44.94,48.14,54.34,45.52,46.81,42.21,41.19,80.14,75.05,77.75,77.58,77.48,73.51,75.70,68.09,80.14,0.3747944436331389,0.28232528594174305,0.31598463815700084,0.16214384205635787,0.18270990771136028,0.27458518414121125,0.24507979708798833,0.18157640816918014,0.2740710715065985,0.2867988045378944
